1,2,Uppland,84900,"You know the feeling when you sit, lie down or hang out in a sofa, rather than on it. That’s how embracing the deep and generous UPPLAND sofa is – your new favorite place for cozy evenings and lazy days!",sofa/sofa-1,5,living-room:office,2024-04-08 18:36:42,1712605756893
2,2,Morabo,69900,"Seat cushions filled with high-resilience foam and polyester fiber wadding provide great seating comfort.

These wooden legs give MORABO sofa and armchair a warm and natural look.

Removable armrests make it easy to add on a chaise lounge.

This cover is made of dope-dyed Gunnared fabric in polyester. It is a durable fabric with a wool-like feel, a warm look and a two-toned mélange effect.",sofa/sofa-2,5,living-room:office,2024-04-08 18:41:46,1712605756893
3,2,Linanas,39900,"With its soft shapes, modern expressions and durable dark cover, this sofa with a chaise is a perfect combination of function and comfort. Also comes without a chaise if you have less space.",sofa/sofa-3,5,living-room:office,2024-04-08 18:46:50,1712605756893
4,2,Soderhamn,57900,"If you like the stylish airy look, you have to try the deep generous seats. Create your own personal combination of SÖDERHAMN sofa, then sit down and relax – by yourself or together with the whole family.",sofa/sofa-4,5,living-room:office,2024-04-08 18:51:54,1712605756893
5,2,Harlanda,114900,"Cozy evenings, lazy days and nice socializing with family and friends – occasions when the super-comfy and deep HÄRLANDA sofa is perfect. You sink softly down and enjoy an embracing feeling in this sofa.",sofa/sofa-5,5,living-room:office,2024-04-08 18:56:58,1712605756893
6,2,Kivik,214900,"Cuddle up in the comfortable KIVIK sofa. The generous size, low armrests and pocket springs with foam that adapts to the body invites you and your guests to many hours of socializing and relaxation.",sofa/sofa-6,5,living-room:office,2024-04-08 19:02:02,1712605756893
7,1,Ekenaset,24900,EKENÄSET armchair adds a stylish retro vibe to the room that is inspired by 1950s Scandinavian design. The classic look goes anywhere in the home – and gives you sturdy and robust seating for many years.,chair/chair-1,5,living-room:office:bedroom,2024-04-08 19:07:06,1712605756893
8,1,Dyclinge,19900,MILA swivel armchair was presented as the ""anti-stress armchair"" in our 1967 catalogue. A big success designed by Gillis Lundgren – now given new life with the name DYVLINGE in the Nytillverkad collection.,chair/chair-2,5,living-room:office:bedroom,2024-04-08 19:12:10,1712605756893
9,1,Ostano,2500,"Comfy and sturdy chair with a metal frame, a soft seat and a nice backrest with a curved shape. All in a timeless, neat design with a modern twist that takes up little room – and at a price that surprises!",chair/chair-3,5,office:kitchen:living-room:study-room,2024-04-08 19:17:14,1712605756893
10,1,Matchspel,28900,"MATCHSPEL gaming chair helps you play at the top of your game. Your whole body enjoys nice support and you can adjust the height of the chair, neck and armrests to sit really comfy when the game begins.",chair/chair-4,5,study-room:office:game-room,2024-04-08 19:22:18,1712605756893
11,1,Utespelare,19999,"UTESPELARE gaming chair gives your body a nice support with a synchronized seat and back tilt that precisely follows your movements during the entire match. And after playing, you can sit back to recharge.",chair/chair-5,5,office:study-room:game-room,2024-04-08 19:27:22,1712605756893
12,1,Huvudspelare,8999,"Adjust the height and angle to sit really comfortably, and let the game begin. The backrest gives you good lumbar support – and even when the game heats up, you stay cool thanks to the mesh net.",chair/chair-6,5,office:study-room:game-room,2024-04-08 19:32:26,1712605756893
